U.S.	303
Germany	141
Britain	133
Australia	130
England	123
France	122
Spain	110
Italy	98
LONDON	93
China	91
Russia	88
Japan	87
Pakistan	85
Sweden	81
Belgium	71
India	70
Iraq	68
NEW YORK	65
Israel	64
London	61
Netherlands	61
United States	55
South Africa	55
Czech Republic	53
Hong Kong	45
Moscow	43
Brazil	43
Finland	42
Ukraine	38
Austria	38
Sri Lanka	38
Canada	37
New Zealand	37
New York	35
Chechnya	34
Romania	33
Slovakia	33
Bosnia	33
West Bank	32
Ireland	31
Kenya	31
Europe	30
Turkey	30
PARIS	30
Argentina	30
Egypt	29
Poland	29
CHICAGO	29
Nigeria	29
Taiwan	27
Iran	27
Chicago	27
Washington	26
AMSTERDAM	26
Switzerland	25
Grozny	25
Jordan	24
Morocco	22
Indonesia	22
Costa Rica	22
Baghdad	21
ENGLAND	21
Scotland	21
Hungary	21
Colombia	21
BONN	20
PAKISTAN	20
WASHINGTON	19
Jerusalem	19
Paris	18
Denmark	18
Cyprus	18
Nepal	18
Croatia	17
Zimbabwe	17
Venezuela	17
MOSCOW	17
Berlin	17
Cuba	17
BRUSSELS	16
California	16
Chile	16
Yugoslavia	16
Sudan	16
Burundi	16
Mexico	16
Beijing	15
Ohio	15
The Oval	15
Norway	15
Brussels	15
Amman	15
Algeria	15
TOKYO	15
Atlanta	15
Syria	14
Amsterdam	14
Malaysia	14
COLOMBO	14
HONG KONG	14
Stansted	14
Gaza	13
Afghanistan	13
TORONTO	13
Greece	13
Saudi Arabia	13
Sao Paulo	13
Wall Street	13
JERUSALEM	12
Lebanon	12
Malta	12
JOHANNESBURG	12
Khartoum	12
Los Angeles	12
Zaire	12
White House	12
Doboj	12
MANCHESTER	12
SYDNEY	11
BALTIMORE	11
SEOUL	11
Kremlin	11
America	11
Dhaka	11
Calcutta	11
Thailand	11
Jamaica	11
ATHENS	10
UK	10
Albania	10
Estonia	10
Bulgaria	10
Slovenia	10
Belarus	10
Ethiopia	10
Bangladesh	10
Serbia	10
Jakarta	10
Colorado	10
BEIJING	9
Kabul	9
South Korea	9
Ecuador	9
SAN FRANCISCO	9
Portugal	9
Liberia	9
Massachusetts	9
New Delhi	9
WELLINGTON	9
Zurich	9
Rwanda	9
Colombo	9
Singapore	9
BELGRADE	9
Wisconsin	9
Shanghai	9
Bonn	8
Middle East	8
BOSTON	8
COLORADO	8
HOUSTON	8
Guinea	8
Texas	8
Rome	8
ANKARA	8
Nicaragua	8
Sakai	8
Florida	7
Ramallah	7
AKRON	7
Leicester	7
Wales	7
Sydney	7
National Tennis Centre	7
Baltimore	7
KANSAS CITY	7
ATLANTA	7
GENEVA	7
BANGKOK	7
CAIRO	7
Algiers	7
JAKARTA	7
Old Trafford	7
WARSAW	7
SEATTLE	7
Arkansas	7
Calif.	7
Eritrea	7
San Diego	7
Dayton	7
Auckland	7
Buenos Aires	7
Africa	7
BAGHDAD	6
Kuwait	6
HELSINKI	6
Trent Bridge	6
Headingley	6
Tirana	6
Latvia	6
Moldova	6
BUDAPEST	6
U.S	6
Bahamas	6
Boston	6
Minnesota	6
Sarajevo	6
Peru	6
Frankfurt	6
Geneva	6
Kashmir	6
Wellington	6
Surabaya	6
LISBON	6
Uganda	6
BRASILIA	6
Corsica	6
BUCHAREST	6
MEXICO CITY	6
Guerrero	6
East Jerusalem	6
Karachi	6
Tehran	6
Heathrow	6
Yemen	6
FRANKFURT	5
Damascus	5
Cairo	5
Libya	5
UAE	5
DUBAI	5
Kandahar	5
Beirut	5
CARLSBAD	5
Colchester	5
Cardiff	5
Vienna	5
TIRANA	5
Larnaca	5
Lithuania	5
Vaduz	5
Luxembourg	5
MINNESOTA	5
LOS ANGELES	5
CLEVELAND	5
Kansas City	5
SOFIA	5
Caribbean	5
Johannesburg	5
Budapest	5
BOGOTA	5
BUENOS AIRES	5
Tibet	5
Istanbul	5
DHAKA	5
Vatican	5
San Francisco	5
Bangkok	5
Mozambique	5
Trinidad	5
Namibia	5
SRI LANKA	5
Mideast	5
Alaska	5
Melbourne	5
JYVASKYLA	5
MADRID	5
Togo	5
Seattle	5
Mexico City	5
Salang	5
Bogra	5
Mauritius	5
Gabon	5
ZIMBABWE	5
SAN JOSE	5
Midwest	5
Bucharest	5
Neths	5
N.J.	5
Gatwick	5
Linz	5
Portsmouth	5
Leduc Reef	5
US	4
COMMACK	4
Northampton	4
Worcester	4
GLASGOW	4
Czech	4
Republic	4
Sofia	4
Georgia	4
Prague	4
Northern Ireland	4
KUALA LUMPUR	4
STUTTGART	4
Toronto	4
Senegal	4
Abuja	4
SARAJEVO	4
Hamburg	4
DUBLIN	4
Dublin	4
NEW DELHI	4
Islamabad	4
BOMBAY	4
NZ	4
Tokyo	4
Soviet Union	4
Oval	4
SAN DIEGO	4
AUSTRALIA	4
Angola	4
MIAMI	4
Akron	4
LAGOS	4
Belgrade	4
AMMAN	4
Karak	4
KATHMANDU	4
British Columbia	4
MELBOURNE	4
H.K.	4
SHANGHAI	4
GOLF	4
NEW ZEALAND	4
PRETORIA	4
MANILA	4
VIENNA	4
Malawi	4
Florence	4
Orvieto	4
Charleroi	4
Lahore	4
Congo	4
Houston	4
MILAN	4
INDIA	4
Seychelles	4
Benin	4
DETROIT	4
CALIFORNIA	4
SINGAPORE	4
United Kingdom	4
Riyadh	4
Prairies	4
STANSTED	4
NORTHAMPTON	4
MONTREAL	4
USA	4
Nairobi	4
TALLINN	4
S. Korea	4
Seoul	4
Kansas	4
MT	4
Vermont	4
Arab East Jerusalem	4
ROME	4
BERLIN	4
Cambodia	4
Mahala	4
Zvornik	4
Kosovo	4
South	4
Taipei	3
TUNIS	3
Abu Dhabi	3
Gulf	3
BEIRUT	3
Heidrun	3
OSLO	3
Firestone C.C	3
Weston-super-Mare	3
CAPE TOWN	3
Valletta	3
Armenia	3
Azerbaijan	3
Skopje	3
Macedonia	3
RIO DE JANEIRO	3
Detroit	3
Minneapolis	3
Wimbledon	3
Atlantic Ocean	3
PRAGUE	3
NOVYE ATAGI	3
Surinam	3
New York City	3
Gaza Strip	3
Addis Ababa	3
Bombay	3
Kiev	3
SPA-FRANCORCHAMPS	3
FLORIDA	3
Zambia	3
Indian Ocean	3
Bogota	3
Miami	3
Taibe	3
NAIROBI	3
Zadar	3
Balkans	3
Amazon	3
HK	3
Virginia	3
Whittier	3
VALLETTA	3
Yingkou	3
AUSTRIA	3
Gisenyi	3
Balkan	3
MANAGUA	3
Tunisia	3
Ankara	3
West Virginia	3
Indiana	3
ISLAMABAD	3
Punjab	3
ZURICH	3
Burma	3
West Indies	3
Botswana	3
Central African Republic	3
BRATISLAVA	3
Rio de Janeiro	3
Stadium Court	3
BRAZIL	3
Brasilia	3
East coast	3
U.S. Midwest	3
Ottawa	3
Iowa	3
Oklahoma	3
KARACHI	3
Alberta	3
Newbury	3
PITTSBURGH	3
ST LOUIS	3
Barcelona	3
Haarlem	3
Novye Atagi	3
The Netherlands	3
CARACAS	3
Caracas	3
Dalian	3
Montana	3
Portland	3
WA	3
New Jersey	3
Tonga	3
Almere	3
Long Island	3
