Russian	92
German	80
British	73
French	59
Dutch	50
GMT	49
Israeli	48
English	38
Iraqi	38
European	38
Australian	37
American	37
Palestinian	36
Olympic	35
Moslem	31
Italian	31
Japanese	28
Republican	27
Chinese	25
World Cup	25
Belgian	25
Democratic	25
Kurdish	23
Sudanese	23
Polish	22
Turkish	22
U.S. Open	22
C$	21
Swiss	21
Iranian	20
Brazilian	20
Chechen	20
Thai	20
Palestinians	19
Indian	19
A$	19
Serb	19
Wimbledon	18
Bosnian	18
South African	17
MAJOR LEAGUE	16
EASTERN DIVISION	16
CENTRAL DIVISION	16
WESTERN DIVISION	16
Albanian	16
Slovak	16
Serbs	15
DUTCH	14
Austrian	14
Jewish	14
Arab	14
Democrats	14
Greek	13
GERMAN	13
ENGLISH	13
Afghan	13
RBI	13
Canadian	13
South Korean	13
Argentine	13
FRENCH	13
Nicaraguan	13
Spanish	12
Saudi	12
Algerian	12
Irish	12
Yugoslav	12
BSE	11
Open	11
Grand Slam	11
Islamist	11
Windows 95	11
Islamic	11
Scottish	10
American League	10
National League	10
Australian Open	10
Serbian	10
Pakistani	10
Cup	9
U.S. OPEN	9
Major League Baseball	9
Islamists	9
Soviet	9
Bundesliga	9
Sri Lankan	9
Rwandan	9
Western	9
Jordanian	9
DEM	9
Toyota Celica	9
Hungarian	9
Olympics	9
Bosnian Serb	9
Iraqi Kurdish	8
Russians	8
Croatian	8
AMERICAN LEAGUE	8
NATIONAL LEAGUE	8
Czech	8
French Open	8
Nigerian	8
Roman Catholic	8
US$	8
HK$	8
Indonesian	8
Grand Prix	8
Chechens	8
Java	8
Celsius	8
Iraqis	8
Names	8
Taleban	7
Canadian Open	7
Major League	7
Colombian	7
Maoist	7
Egyptian	7
Tamil	7
African	7
Helibor	7
Nasdaq	7
Gulf War	6
U.S.-led	6
ENGLISH COUNTY CHAMPIONSHIP	6
CANADIAN OPEN	6
Davis Cup	6
Medicare	6
Frenchman	6
Americans	6
Cuban	6
European Cup	6
Spaniard	6
RUGBY LEAGUE	6
serie A	6
Norwegian	6
Singer World Series	6
Republicans	6
Avonex	6
TOSHIBA CLASSIC	5
Toshiba Classic	5
SCOTTISH	5
Romanian	5
Bulgarian	5
Swedish	5
Nazi	5
post-Soviet	5
GRAND PRIX	5
Portuguese	5
Atlanta Games	5
Angolan	5
Indians	5
Kurd	5
Dm	5
Edouard	5
Basque	5
Ford Escort	5
African Nations Cup	5
Briton	5
Moslems	5
Mexican	5
Tamils	5
CAC-40	5
TOUR OF NETHERLANDS	5
Tour of the Netherlands	5
Democrat	5
Betaseron	5
Five Nations	5
Ivorian	5
ADRs	5
Syrian	4
Iraqi Kurds	4
Israeli-PLO	4
HAMLET CUP	4
German Open	4
UEFA Cup	4
Commission Regulation	4
Swede	4
West African	4
Israel-PLO	4
Miss Universe	4
Nobel Peace Prize	4
Nikkei	4
BELGIAN	4
English County Championship	4
U.S. Open Tennis Championships	4
Cup Winners ' Cup	4
Sri Lankans	4
Arabs	4
Tibetan	4
Nepali	4
1,000 Lakes Rally	4
Danish	4
S. KOREAN	4
Eco-Challenge	4
Hutu	4
1,000 LAKES RALLY	4
Mitsubishi Lancer	4
Subaru Impreza	4
Italian Cup	4
Burmese	4
Moroccan	4
Costa Rican	4
Democratic Convention	4
F	4
British-based	4
Kadian	4
Bosnians	4
CPI	4
Taiwanese	3
Kurds	3
Kalashnikov	3
Finnish	3
WORLD SERIES OF GOLF	3
NEC World Series of Golf	3
Waldbaum Hamlet Cup	3
MALAYSIAN OPEN	3
Malaysian	3
SWISS	3
Euro 96	3
GERMAN OPEN	3
Russian-Chechen	3
Slovenian	3
neo-Nazi	3
Jews	3
CTBT	3
Conference on Disarmament	3
Dow Jones	3
Mission: Impossible	3
PORTUGUESE	3
WORLD CUP	3
World Series of Golf	3
Israelis	3
Hutus	3
Himalayan	3
Euromark	3
TM	3
Libyan	3
BELGIAN GRAND PRIX	3
Belgian Grand Prix	3
EUROPEAN SUPER LEAGUE	3
European Super League	3
POLISH	3
Asian	3
Tutsis	3
Dutchman	3
Internet	3
Australian Rules	3
Serb-held	3
Serb-controlled	3
Dow	3
Latin American	3
S$	3
Airbus 310	3
U.S.-brokered	3
Labor Day	3
DAX	3
Bosnian Serbs	3
Central African	3
BRITISH MASTERS	3
British Masters	3
Super Cup	3
ITALIAN CUP	3
World War Two	3
Guinean	3
Chilean	3
Catalan	3
Bovine Spongiform Encephalopathy	2
Germans	2
SWEDISH	2
Syrians	2
Iranian Kurdish	2
Islamic Taleban	2
Africans	2
Cup winners Cup	2
Nunthorpe Stakes	2
County Championship	2
BRAZILIAN	2
World Series	2
ERA	2
UEFA Fair Play	2
AUSTRALIANS	2
ROMANIAN	2
Medicaid	2
Senegalese	2
CNB-120	2
neo-Nazism	2
Social Democrats	2
Algerians	2
Comprehensive Test Ban Treaty	2
Bangladeshi	2
Catholics	2
Independence Day	2
NZ$	2
Australians	2
Book of Mass	2
Albanians	2
OLYMPIC	2
American Olympic	2
Jamaican	2
Golden Four	2
Euro ' 96	2
S.AFRICAN	2
Toronto-based	2
Pole	2
Rwandan Hutu	2
pro-Baghdad	2
U.S.-mediated	2
Bunds	2
American-style	2
Windows	2
Vietnamese	2
YUGOSLAV	2
PHILIPPINE	2
Tutsi-dominated	2
Zairean	2
Tutsi	2
Xhosa	2
Eritrean	2
Tunisian	2
NATO-led	2
Etruscan	2
1,000 Lakes	2
AFRICAN NATIONS CUP	2
Singer Cup	2
South Africans	2
Croat	2
F-14	2
Lebanese	2
Pakistan-ruled	2
Ukrainian	2
CZECH	2
ARGENTINE	2
SOUTH KOREAN	2
OPEN	2
Moslem-Croat	2
Venezuelan	2
Labour Day	2
AEX	2
Financial Times-Stock Exchange	2
Airbus	2
Saudis	2
Tour	2
Ryder Cup	2
HONG KONG OPEN	2
Hong	2
Kong Open	2
Grand Slams	2
Estonian	2
Ten Commandments	2
Rep	2
CeBIT	2
Airbus A310	2
DTB-Bund-Future	2
Arabic	2
Brady Law	2
Flight 150	2
O-157	2
ITALIAN	2
Olympic Games	2
SPANISH	2
SUPER CUP	2
Catholic	2
Russian Trading System	2
African Americans	2
FTSE 100	2
ISO 9002	2
Tacis	2
EUROPEAN	2
Creutzfeldt-Jakob Disease	2
CJD	2
Cetes	2
Ecus	2
U.S. Civil War	2
AIDS	2
Finns	2
New Zealands	2
T$	2
EU-wide	1
Ai n't no telling	1
GREEK	1
Israeli-Syrian	1
North African	1
Rajavi	1
U.S.-sponsored	1
One-month	1
One-year	1
MiG-19	1
Ilyushin 76	1
Corsican	1
Sud-PTT	1
mid-Norway	1
Prix de l ' Abbaye	1
Abbaye	1
F.A. Cup	1
Millns	1
EUROPEAN CUP WINNERS ' CUP	1
European Cup Winners '	1
Vinko Marinovic	1
Anjalonkoski	1
EURO CUP	1
European Champions Cup	1
DAVIS CUP	1
Croatians	1
Sun-ho	1
National League Championship Series	1
American League East Division	1
American League Western	1
A.L. Central	1
A.L. East	1
Romanian-registered	1
Chapter 11	1
Richmond-based	1
Iron Gippsland	1
Sairyu Maru No: 2	1
Stainless Fighter	1
Kwai	1
Montserratians	1
Koranic	1
Marxist	1
Rottweiler	1
Peruvian	1
Surinamese	1
Surinamese-born	1
Nablus-based	1
Boeing	1
IMKB-100	1
1996 Miss Teen USA	1
Los Angeles-based	1
anti-Semitic	1
Hitleresque	1
National Socialists	1
Nazis	1
Nazism	1
Aryan	1
Dfl	1
Bharat Ratna	1
Jewel of India	1
Loretto	1
Hindu	1
Net Book Agreement	1
Westerners	1
INDONESIAN	1
Singapore-listed	1
FTSE-100	1
DAX-3O	1
CAC-40 General	1
Australian All-Ordinaries	1
Hang Seng	1
Partnership for Peace	1
Westernising	1
Buzuku	1
Mission	1
Viacom Inc-owned	1
Forrest Gump	1
Academy Award-winning	1
Oscars	1
Butch Cassidy and the Sundance Kid	1
All the President 's Men	1
Australia Day	1
Aussies	1
ATP Tour	1
U.S. Tennis Association	1
Oriole	1
BRUSSELS GRAND PRIX	1
Brussels	1
EURO ' 96	1
EUROPEAN CUP	1
EURO	1
Lusaka Agreement	1
trip-Canada	1
Boston-based	1
International Aviation Safety program	1
Colombians	1
British Open	1
Moslem Arabs	1
Israeli Arabs	1
Palestinian Arabs	1
European Champions ' League	1
European Trophy	1
T-72	1
Andean	1
Russian-built	1
Baath	1
Near Eastern	1
USDA-sponsored	1
Euro	1
German-led	1
Turkish Kurd	1
BLOM Stock Index	1
LISPI	1
Ill.-based	1
South Korea-based	1
Transcendental Meditation	1
Wash.-based	1
Office 95	1
Windows NT	1
NT	1
Windows NT 4.0	1
Cubans	1
W-2	1
Republic	1
S. Korean	1
FINNISH	1
Kalashnikovs	1
Nobel Peace Prize-winning	1
Albanian-born	1
Zimbabwean	1
Z$	1
Stalinist	1
Nepalese	1
PUK-run	1
Kurdish-controlled	1
U.N.-sponsored	1
Iraq-bound	1
Republican-controlled	1
1997--Ruehe	1
Othello	1
PGA Tour	1
POKKA	1
Pokka	1
International Endurance GT championship	1
Gulf McLaren FI GTR	1
Ennea	1
Ferrari F40	1
Harrods	1
McLaren FI GTR	1
